,CH10,CH9
1655,446,0
1656,481,0
1657,422,0
1658,463,0
1659,411,0
1660,466,0
1661,484,0
1662,444,0
1663,454,0
1664,524,69
1665,485,117
1666,568,188
1667,592,214
1668,548,262
1669,558,201
1670,633,123
1671,645,83
1672,645,95
1673,649,42
1674,590,61
1675,666,9
1676,599,0
1677,693,0
1678,718,0
1679,657,9
1680,659,12
1681,745,3
1682,675,0
1683,773,0
1684,700,0
1685,804,0
1686,817,0
1687,716,0
1688,744,0
1689,842,0
1690,745,0
1691,744,0
1692,850,0
1693,748,0
1694,863,0
1695,880,0
1696,781,0
1697,420,0
1698,398,0
1699,432,0
1700,394,0
1701,404,0
1702,429,0
1703,424,67
1704,27,107
1705,0,135
1706,0,97
1707,0,128
1708,0,117
1709,0,122
1710,0,116
1711,0,116
1712,0,86
1713,0,94
1714,0,113
1715,0,104
1716,187,112
1717,335,118
1718,500,132
1719,526,0
1720,479,0
1721,501,0
1722,495,0
1723,463,0
1724,450,0
1725,446,0
1726,441,0
1727,419,0
1728,421,0
1729,392,0
1730,373,0
1731,368,0
1732,356,0
1733,321,121
1734,253,160
1735,157,144
1736,78,150
1737,0,135
1738,0,145
1739,0,150
1740,0,134
1741,0,148
1742,0,153
1743,21,142
1744,65,138
1745,127,148
1746,186,145
1747,1222,121
1748,3331,120
1749,5058,109
1750,6490,84
1751,7645,78
1752,8598,55
1753,9403,49
1754,9981,38
1755,8073,29
1756,6119,30
1757,4542,44
1758,3254,67
1759,2215,83
1760,1357,106
1761,648,97
1762,341,902
1763,328,3067
1764,323,4833
1765,312,6262
1766,308,7414
1767,298,8367
1768,303,9163
1769,299,9810
1770,300,8077
1771,303,6101
1772,311,4485
1773,304,3166
1774,314,2057
1775,309,1178
1776,314,473
1777,434,114
1778,910,110
1779,1298,110
1780,1618,104
1781,1885,101
1782,2105,100
1783,2277,94
1784,2422,92
1785,2080,88
1786,1625,90
1787,1256,84
1788,966,95
1789,726,104
1790,538,101
1791,378,112
1792,288,205
1793,290,684
1794,286,1074
1795,285,1406
1796,282,1682
1797,288,1906
1798,287,2078
1799,289,2224
1800,296,1931
1801,297,1509
1802,300,1162
1803,306,870
1804,305,624
1805,309,443
1806,309,279
1807,328,179
1808,427,180
1809,518,178
1810,590,200
1811,0,188
1812,0,199
1813,0,192
1814,0,197
1815,317,5311
1816,285,201
1817,296,218
1818,292,205
1819,318,214
1820,265,836
1821,269,880
1822,294,558
1823,367,223
1824,386,224
1825,405,211
1826,398,206
1827,395,225
1828,398,223
1829,2586,217
1830,288,623
1831,281,1164
1832,279,2084
1833,278,0
1834,300,697
1835,283,223
1836,636,214
1837,1747,244
1838,2424,218
1839,248,237
1840,233,202
1841,239,241
1842,2401,228
1843,3268,242
1844,220,0
1845,214,0
1846,206,0
1847,217,0
1848,214,0
1849,200,57
1850,163,307
1851,0,311
1852,277,303
1853,280,312
1854,282,351
1855,0,310
1856,0,338
1857,0,339
1858,0,305
1859,0,300
1860,0,334
1861,0,328
1862,0,366
1863,0,357
1864,0,337
1865,0,326
1866,0,353
1867,0,322
1868,0,302
1869,98,308
1870,408,275
1871,400,257
1872,362,246
1873,322,185
1874,284,250
1875,278,299
1876,278,238
1877,279,209
1878,285,105
1879,287,159
1880,289,279
1881,291,286
1882,294,288
1883,288,328
1884,287,284
1885,287,247
1886,286,186
1887,287,153
1888,289,128
1889,289,124
1890,290,105
1891,293,96
1892,292,134
1893,306,79
1894,311,75
1895,318,77
1896,322,97
1897,325,99
1898,339,61
1899,293,236
1900,363,80
1901,405,82
1902,425,65
1903,441,86
1904,454,92
1905,297,2029
1906,298,85
1907,389,0
1908,558,0
1909,743,14
1910,870,53
1911,987,87
1912,1099,73
1913,1205,97
1914,1099,98
1915,815,87
1916,613,50
1917,345,28
1918,259,57
1919,247,786
1920,245,1068
1921,253,1249
1922,260,1274
1923,270,1059
1924,277,733
1925,284,549
1926,294,343
1927,297,253
1928,301,168
1929,307,63
1930,307,0
1931,303,343
1932,346,0
1933,402,0
1934,403,0
1935,421,0
1936,451,0
1937,571,0
1938,517,0
1939,477,0
1940,572,0
1941,570,2
1942,509,16
1943,468,29
1944,445,33
1945,412,58
1946,348,110
1947,370,82
1948,349,96
1949,339,111
1950,343,152
1951,309,168
1952,311,185
1953,311,190
1954,312,187
1955,313,186
1956,314,170
1957,309,164
1958,307,175
1959,0,170
1960,0,170
1961,314,247
1962,323,244
1963,320,157
1964,322,168
1965,327,118
1966,329,120
1967,337,130
1968,344,126
1969,327,128
1970,349,132
1971,355,125
1972,356,123
1973,361,127
1974,353,128
1975,350,128
1976,336,126
1977,327,130
1978,325,122
1979,323,125
1980,322,117
1981,330,124
1982,333,131
1983,328,145
1984,337,149
1985,328,149
1986,327,149
1987,326,152
1988,354,106
1989,374,67
1990,411,72
1991,343,128
1992,348,134
1993,353,137
1994,358,131
1995,358,128
1996,351,129
1997,352,132
1998,352,130
1999,359,138
2000,336,140
2001,328,131
2002,336,138
2003,324,142
2004,318,145
2005,314,147
2006,315,159
2007,313,142
2008,313,170
2009,313,177
2010,317,177
2011,317,182
2012,316,177
2013,0,171
2014,0,159
2015,0,154
2016,0,147
2017,0,142
2018,0,144
2019,0,136
2020,0,141
2021,0,144
2022,0,135
2023,0,137
2024,0,134
2025,425,129
2026,496,136
2027,502,133
2028,456,134
2029,414,139
2030,382,140
2031,359,136
2032,315,130
2033,295,137
2034,293,234
2035,294,285
2036,296,314
2037,300,350
2038,304,368
2039,306,262
2040,310,313
2041,310,312
2042,306,290
2043,302,246
2044,302,195
2045,303,153
2046,302,130
2047,316,129
2048,334,121
2049,346,127
2050,351,126
2051,361,136
2052,360,135
2053,352,129
2054,344,134
2055,414,130
2056,392,128
2057,345,132
2058,325,129
2059,303,131
2060,282,142
2061,277,200
2062,281,244
2063,300,173
2064,298,185
2065,268,338
2066,272,358
2067,274,381
2068,283,321
2069,286,277
2070,273,235
2071,282,206
2072,267,176
2073,264,141
2074,261,132
2075,278,126
2076,285,132
2077,297,128
2078,303,126
2079,311,136
